Id,AverageHeartRate,CumulativeSteps,ActiveDistance,LightActiveDistance,Calories,MinutesAsleep
2022484408,75.66776912,11875,4.079999924,4.260000229,2390,456
2022484408,79.80613591,12019,3.090000011,5.409999847,2601,374
2022484408,73.00116399,10690,2.690000013,4.820000172,2312,474
2022484408,80.0814478,11034,2.25000006,5.78000021,2525,418
2022484408,76.84165966,10100,3.700000107,3.390000105,2177,469
2022484408,82.67843481,15112,4.529999912,6.880000114,2782,471
2022484408,80.95331127,14131,3.760000102,6.300000191,2770,408
2022484408,81.77735426,11548,3.529999956,5,2489,454
2022484408,82.60089491,15112,5.269999862,5.400000095,2897,430
2022484408,83.67590146,12453,4.439999938,4.309999943,3158,464
2022484408,79.00918917,12954,4.849999815,4.46999979,2638,474
2022484408,71.48596885,6001,0,4.210000038,2069,455
2022484408,81.57859731,13481,5.700000167,4.579999924,2529,476
2022484408,83.82769979,11369,3.549999923,4.460000038,2470,430
2022484408,81.55122825,10119,2.089999974,5.110000134,2793,458
2022484408,79.85769025,10159,2.00999999,5.119999886,2463,433
2022484408,71.31524747,10140,1.740000039,5.389999866,2296,415
2022484408,82.71012869,10245,1.690000027,5.5,2611,436
2022484408,77.55729179,18387,2.339999974,10.56999969,2732,383
2022484408,73.30616922,10538,2.900000036,4.5,2380,373
2022484408,77.59048315,10379,2.949999899,4.329999924,2473,390
2022484408,82.64995585,12183,4.450000018,4.28000021,2752,438
2022484408,81.26416134,11768,3.439999998,4.849999905,2649,450
2022484408,81.00359825,11895,3.649999976,4.699999809,2609,373
2022484408,81.31892224,10227,2.540000021,4.639999866,2498,476
2022484408,76.37612147,6708,1.690000013,3.019999981,1995,475
2022484408,85.25297478,3292,0,2.309999943,1848,453
2022484408,79.26710449,13379,3.749999881,5.639999866,2709,380
2022484408,85.17233356,12798,3.430000067,5.559999943,2797,478
2022484408,81.78537471,13272,5.329999804,3.99000001,2544,449
2022484408,80.99638819,8339,1.949999988,4.440000057,1853,476
2026352035,70.24061942,250,0,0.519999981,1214,437
2026352035,102.2378645,1276,0,3.730000019,1576,506
2026352035,80.86003439,1789,0,4.349999905,1690,511
2026352035,97.50185452,5168,0,6.599999905,1869,531
2347167796,85.51921779,10113,2.620000005,4.199999809,2344,456
